GO_term,category,bin_edge,with_term_hist,without_term_hist
ALL_IDRs,molfunc,0.0,20.705406921901538,0.0
ALL_IDRs,molfunc,0.01,7.5588086535316155,0.0
ALL_IDRs,molfunc,0.02,5.2693233689866315,0.0
ALL_IDRs,molfunc,0.03,4.233223168222707,0.0
ALL_IDRs,molfunc,0.04,3.6498378738057506,0.0
ALL_IDRs,molfunc,0.05,3.294396146225977,0.0
ALL_IDRs,molfunc,0.06,3.1072601117283813,0.0
ALL_IDRs,molfunc,0.07,2.8010259744511363,0.0
ALL_IDRs,molfunc,0.08,2.506719411924886,0.0
ALL_IDRs,molfunc,0.09,2.2848157659190598,0.0
ALL_IDRs,molfunc,0.1,2.1392993539568725,0.0
ALL_IDRs,molfunc,0.11,1.966654053890814,0.0
ALL_IDRs,molfunc,0.12,1.8687464296581413,0.0
ALL_IDRs,molfunc,0.13,1.774188677483199,0.0
ALL_IDRs,molfunc,0.14,1.6605721835252816,0.0
ALL_IDRs,molfunc,0.15,1.5651008298800453,0.0
ALL_IDRs,molfunc,0.16,1.4772428218205576,0.0
ALL_IDRs,molfunc,0.17,1.3972011818957712,0.0
ALL_IDRs,molfunc,0.18,1.3412938474777862,0.0
ALL_IDRs,molfunc,0.19,1.2624195872094768,0.0
ALL_IDRs,molfunc,0.2,1.207222831712835,0.0
ALL_IDRs,molfunc,0.21,1.1549191475387695,0.0
ALL_IDRs,molfunc,0.22,1.0818310299156255,0.0
ALL_IDRs,molfunc,0.23,1.0279539209871786,0.0
ALL_IDRs,molfunc,0.24,0.9897603039653594,0.0
ALL_IDRs,molfunc,0.25,0.9535207789772172,0.0
ALL_IDRs,molfunc,0.26,0.911418977888052,0.0
ALL_IDRs,molfunc,0.27,0.8806864395402647,0.0
ALL_IDRs,molfunc,0.28,0.8376456591621958,0.0
ALL_IDRs,molfunc,0.29,0.7995535534148512,0.0
ALL_IDRs,molfunc,0.3,0.7742011126143232,0.0
ALL_IDRs,molfunc,0.31,0.7372002530676066,0.0
ALL_IDRs,molfunc,0.32,0.7144617275848508,0.0
ALL_IDRs,molfunc,0.33,0.6939056945033415,0.0
ALL_IDRs,molfunc,0.34,0.6606607521122587,0.0
ALL_IDRs,molfunc,0.35000000000000003,0.6228985580069712,0.0
ALL_IDRs,molfunc,0.36,0.6037890605867497,0.0
ALL_IDRs,molfunc,0.37,0.5663567781235078,0.0
ALL_IDRs,molfunc,0.38,0.5572715190578531,0.0
ALL_IDRs,molfunc,0.39,0.5341015706585717,0.0
ALL_IDRs,molfunc,0.4,0.5124289135578199,0.0
ALL_IDRs,molfunc,0.41000000000000003,0.4959587092739962,0.0
